,^GSPC,VIXCLS,CPIAUCSL,M2SL,FEDFUNDS,T10Y2Y,AAA,UNRATE,PCUOMFGOMFG,USPHCI,IQ,S&P_pct
2004-03-01,1155.969970703125,14.44,187.1,6150.1,1.0,2.33,5.33,5.8,140.3,90.98,103.0,1.0
2004-04-01,1132.1700439453125,16.65,187.4,6191.2,1.0,2.26,5.73,5.6,141.8,91.28,103.7,0.0
2004-05-03,1117.489990234375,16.62,188.2,6268.1,1.0,2.19,6.04,5.6,143.3,91.52,104.1,0.0
2004-06-01,1121.199951171875,16.3,188.9,6270.5,1.03,2.11,6.01,5.6,142.9,91.73,103.4,1.0
2004-07-01,1128.93994140625,15.2,189.1,6284.3,1.26,1.93,5.82,5.5,143.2,91.95,103.9,1.0
2004-08-02,1106.6199951171875,15.37,189.2,6310.6,1.43,1.82,5.65,5.4,143.7,92.15,103.4,0.0
2004-09-01,1105.9100341796875,14.91,189.8,6345.3,1.61,1.72,5.46,5.4,144.2,92.37,103.8,0.0
2004-10-01,1131.5,12.75,190.8,6373.3,1.76,1.58,5.47,5.5,146.5,92.62,104.4,1.0
2004-11-01,1130.510009765625,16.27,191.7,6399.8,1.93,1.5,5.52,5.4,146.1,92.82,104.7,0.0
2004-12-01,1191.3699951171875,12.97,191.7,6418.3,2.16,1.37,5.47,5.4,145.0,92.99,104.8,1.0
2005-01-03,1202.0799560546875,14.08,191.6,6424.5,2.28,1.13,5.36,5.3,146.2,93.23,105.6,1.0
2005-02-01,1189.4100341796875,12.03,192.4,6432.8,2.5,0.86,5.2,5.4,147.0,93.42,105.7,0.0
2005-03-01,1210.4100341796875,12.04,193.1,6441.9,2.63,0.79,5.4,5.2,148.9,93.68,106.4,1.0
2005-04-01,1172.9200439453125,14.09,193.7,6455.9,2.79,0.71,5.33,5.2,149.6,93.93,106.9,0.0
2005-05-02,1162.1600341796875,15.12,193.6,6473.3,3.0,0.57,5.15,5.1,149.4,94.18,106.7,0.0
2005-06-01,1202.219970703125,12.36,193.7,6505.8,3.04,0.41,4.96,5.0,149.6,94.46,106.7,1.0
2005-07-01,1194.43994140625,11.4,194.9,6537.4,3.26,0.3,5.06,5.0,151.0,94.73,106.8,0.0
2005-08-01,1235.3499755859375,12.08,196.1,6570.2,3.5,0.28,5.09,4.9,151.8,94.98,106.6,1.0
